model,true_label,predicted_label,text,clean_text,airline,negativereason,confidence
TF-IDF + Logistic Regression,neutral,positive,@AmericanAir thanks!,usertoken thanks,American,,0.6676
TF-IDF + Logistic Regression,positive,neutral,@United Global First Class Lounge ORD menu. Yummy! http://t.co/egKvFoKogj,usertoken global first class lounge ord menu yummy urltoken,United,,1.0
TF-IDF + Logistic Regression,neutral,positive,@united that's what I thought! Thanks for the clarification!,usertoken that is what i thought thanks for the clarification,United,,0.6806
TF-IDF + Logistic Regression,negative,neutral,@united GRK13575M is the file reference,usertoken grk numbertoken m is the file reference,United,Lost Luggage,0.6354
TF-IDF + Logistic Regression,neutral,negative,@SouthwestAir no her lunch was over by the time she got her call answered,usertoken no her lunch was over by the time she got her call answered,Southwest,,0.6654
TF-IDF + Logistic Regression,negative,positive,@United yall tried it with this little bitty plane flying out of boston!! I hate little planes!!!,usertoken yall tried it with this little bitty plane flying out of boston i hate little planes,United,Bad Flight,1.0
TF-IDF + Logistic Regression,neutral,negative,@SouthwestAir I will not have my passport in time for my trip. Could I still fly with photo ID? #thingsishouldknow #ifeeldumb,usertoken i will not have my passport in time for my trip could i still fly with photo id thingsishouldknow ifeeldumb,Southwest,,1.0
TF-IDF + Logistic Regression,positive,neutral,"@united got it right with the safety demonstration! Corporate but funny, reserved but NOT CORNY  as a… http://t.co/lwOtKIEKGU",usertoken got it right with the safety demonstration corporate but funny reserved but not corny as a urltoken,United,,0.6701
TF-IDF + Logistic Regression,negative,neutral,@SouthwestAir When will your phone agents be able to give the correct departure times for CUN? When can we checkin online for international?,usertoken when will your phone agents be able to give the correct departure times for cun when can we checkin online for international,Southwest,Customer Service Issue,0.6703
TF-IDF + Logistic Regression,neutral,positive,@united we will be at the airport first thing in the morning,usertoken we will be at the airport first thing in the morning,United,,0.6632
TF-IDF + Logistic Regression,negative,neutral,@AmericanAir I need refund.,usertoken i need refund,American,Can't Tell,0.7276
TF-IDF + Logistic Regression,negative,positive,@AmericanAir I'll try to have a great week once I receive it 😩😭💔,usertoken i will try to have a great week once i receive it,American,Lost Luggage,0.659
TF-IDF + Logistic Regression,neutral,positive,@united hey I left my favorite blanket on the plane bring it back home to me:-(,usertoken hey i left my favorite blanket on the plane bring it back home to me,United,,0.6511
TF-IDF + Logistic Regression,negative,neutral,"@USAirways : When You've Got to Get There, We've Got Excuses! #usairwaysfail",usertoken when you have got to get there we have got excuses usairwaysfail,US Airways,Can't Tell,0.6452
TF-IDF + Logistic Regression,negative,positive,@USAirways great. I just called your fucking phone number and she hung up on me,usertoken great i just called your fucking phone number and she hung up on me,US Airways,Customer Service Issue,1.0
TF-IDF + Logistic Regression,neutral,positive,@JetBlue such a bummer.  But I understand it's a business deal. Thanks for answering me!  Much less sad now.,usertoken such a bummer but i understand it is a business deal thanks for answering me much less sad now,Delta,,1.0
