model,predicted_label,text,clean_text,airline,confidence
TF-IDF + Logistic Regression,positive,@AmericanAir thanks!,usertoken thanks,American,0.6676
TF-IDF + Logistic Regression,positive,@united that's what I thought! Thanks for the clarification!,usertoken that is what i thought thanks for the clarification,United,0.6806
TF-IDF + Logistic Regression,negative,@SouthwestAir no her lunch was over by the time she got her call answered,usertoken no her lunch was over by the time she got her call answered,Southwest,0.6654
TF-IDF + Logistic Regression,negative,@SouthwestAir I will not have my passport in time for my trip. Could I still fly with photo ID? #thingsishouldknow #ifeeldumb,usertoken i will not have my passport in time for my trip could i still fly with photo id thingsishouldknow ifeeldumb,Southwest,1.0
TF-IDF + Logistic Regression,positive,@united we will be at the airport first thing in the morning,usertoken we will be at the airport first thing in the morning,United,0.6632
TF-IDF + Logistic Regression,positive,@united hey I left my favorite blanket on the plane bring it back home to me:-(,usertoken hey i left my favorite blanket on the plane bring it back home to me,United,0.6511
TF-IDF + Logistic Regression,positive,@JetBlue such a bummer.  But I understand it's a business deal. Thanks for answering me!  Much less sad now.,usertoken such a bummer but i understand it is a business deal thanks for answering me much less sad now,Delta,1.0
TF-IDF + Logistic Regression,positive,@JetBlue you're taking me to New Orleans in two weeks so I'll picture that while I shiver #forevercold,usertoken you are taking me to new orleans in two weeks so i will picture that while i shiver forevercold,Delta,0.6462
TF-IDF + Logistic Regression,negative,@JetBlue all up to date. Can't update via Google play.,usertoken all up to date cannot update via google play,Delta,1.0
TF-IDF + Logistic Regression,negative,"@AmericanAir travel week, delays, Cancelled Flightlations, ""if you want to learn more about the merger press 1"", delay my connector in Chicago #deice",usertoken travel week delays cancelled flightlations if you want to learn more about the merger press numbertoken delay my connector in chicago deice,American,1.0
TF-IDF + Logistic Regression,negative,@USAirways I'm shutting my data off for the flight. I want some response by the time I land.  You have 2 hours.,usertoken i am shutting my data off for the flight i want some response by the time i land you have numbertoken hours,US Airways,1.0
TF-IDF + Logistic Regression,negative,@AmericanAir Do you have any sort of live chat feature? We're in the UK right now and that call would cost us alot. :(,usertoken do you have any sort of live chat feature we are in the uk right now and that call would cost us alot,American,0.6424
TF-IDF + Logistic Regression,negative,@JetBlue real shit my nigga north don't play around!,usertoken real shit my nigga north do not play around,Delta,0.6503
TF-IDF + Logistic Regression,negative,@AmericanAir You're right. Someone is up to something...,usertoken you are right someone is up to something,American,1.0
TF-IDF + Logistic Regression,positive,Thx! Stand by! “@united: @rajuchinthala I know it's frustrating and I do appreciate your patience while we try to get you on your way. ^JH”,thx stand by usertoken usertoken i know it is frustrating and i do appreciate your patience while we try to get you on your way jh,United,0.6631
